v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[W]	[N]	[Nm]
0.000	0.000	0.171555	0.059961	0.000055	9.999999	9.999999	0.01	0.00	11.00 	0.00	3213	11.88	2.5000	0.03532
0.050	0.016	0.183878	0.048043	0.091758	9.999999	9.999999	19.14	13.26	28.00 	0.66	3103	8.58	2.5000	0.02641
0.100	0.032	0.131130	0.060113	0.175471	9.999999	9.999999	21.81	28.64	0.00 	1.56	3675	17.83	2.5000	0.04633
0.150	0.048	0.121445	0.058996	0.264196	9.999999	9.999999	30.88	40.68	0.00 	2.42	3819	19.63	2.5000	0.04910
0.200	0.064	0.109732	0.056704	0.355064	6.985732	9.999999	38.70	51.54	0.00 	3.40	4017	21.97	2.5000	0.05223
0.250	0.080	0.098920	0.054255	0.447766	4.030360	8.842261	45.58	60.89	0.00	4.48	4231	24.56	2.5000	0.05543
0.300	0.095	0.087345	0.051129	0.543737	2.471344	4.822140	51.25	69.07	0.00	5.72	4503	27.90	2.5000	0.05916
0.350	0.111	0.075154	0.047282	0.644362	1.562279	2.808197	55.63	76.16	0.00	7.19	4854	32.32	2.5000	0.06358
0.400	0.127	0.062293	0.042628	0.751833	0.991421	1.696104	58.45	82.28	0.00	9.03	5332	38.61	2.5000	0.06916
0.450	0.143	0.048727	0.037070	0.869775	0.612756	1.035931	59.15	87.55	0.00	11.48	6029	48.54	2.5000	0.07689
0.500	0.159	0.034307	0.030443	1.005248	0.349452	0.620175	56.35	92.11	0.00	15.21	7185	67.47	2.5000	0.08968
0.510	0.162	0.031377	0.029006	1.035319	0.307195	0.556814	55.17	92.94	0.00	16.22	7513	73.50	2.5000	0.09342
0.520	0.166	0.028392	0.027512	1.066841	0.267384	0.498250	53.66	93.74	0.00	17.39	7898	80.99	2.5000	0.09793
0.530	0.169	0.025384	0.025975	1.099931	0.230117	0.444287	51.79	94.52	0.00	18.74	8352	90.45	2.5000	0.10342
0.540	0.172	0.022372	0.024404	1.134749	0.195371	0.394665	49.50	95.27	0.00	20.34	8897	102.71	2.5000	0.11024
0.550	0.175	0.019298	0.022770	1.171901	0.162454	0.348507	46.61	96.00	0.00	22.30	9579	119.62	2.5000	0.11924
0.560	0.178	0.016172	0.021073	1.211830	0.131315	0.305568	42.97	96.71	0.00	24.81	10465	144.32	2.5000	0.13170
0.570	0.181	0.013161	0.019410	1.253925	0.103153	0.266889	38.65	97.38	0.00	27.99	11600	181.05	2.5000	0.14904
0.580	0.185	0.010113	0.017693	1.299777	0.076551	0.230915	33.15	98.03	0.00	32.49	13233	245.03	2.5000	0.17682
0.590	0.188	0.007029	0.015924	1.350336	0.051421	0.197440	26.04	98.66	0.00	39.64	15872	380.55	2.5000	0.22895
0.600	0.191	0.003823	0.014180	1.405448	0.027041	0.167174	16.18	99.28	1.00	54.67	21523	844.94	2.5000	0.37488

