0.74905799	-0.02178845
0.74409123	-0.02031235
0.73501059	-0.01843173
0.72121746	-0.01617071
0.70201319	-0.01258226
0.67667166	-0.00764520
0.64461206	-0.00142951
0.60555981	0.00610525
0.55968006	0.01497045
0.50765132	0.02442034
0.45061170	0.03014320
0.39039684	0.03428328
0.32915562	0.03694836
0.26917956	0.03735981
0.21271886	0.03579925
0.16172585	0.03292925
0.11764318	0.02915211
0.08129309	0.02489170
0.05284358	0.02046595
0.03186779	0.01622017
0.01746001	0.01228777
0.00840672	0.00884333
0.00335410	0.00580205
0.00098226	0.00312760
0.00015393	0.00117190
0.00000000	0.00000000
0.00008954	-0.00104185
0.00080589	-0.00293558
0.00302444	-0.00553117
0.00790003	-0.00857599
0.01675172	-0.01206234
0.03093064	-0.01599820
0.05165915	-0.02025393
0.07985076	-0.02469460
0.11595229	-0.02897973
0.15981420	-0.03279241
0.21063887	-0.03570967
0.26700700	-0.03733160
0.32700447	-0.03700721
0.38839927	-0.03439240
0.44885616	-0.03021139
0.50618713	-0.02591431
0.55851619	-0.02504058
0.60467515	-0.02430705
0.64396475	-0.02368246
0.67622123	-0.02312975
0.70171959	-0.02267623
0.72103369	-0.02248726
0.73488778	-0.02265663
0.74403127	-0.02236838
0.74905799	-0.02178845
