#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.04352  0.00066  0.00691  0.74770  0.000125  0.000055  0.011708     2.256
   1.04605  0.00027  0.00441  0.66520  0.000120  0.000054  0.010916     2.244
   1.04852  0.00005  0.00195  0.57737  0.000118  0.000052  0.009701     2.242
   1.05092  0.00000 -0.00045  0.48684  0.000115  0.000052  0.008411     2.235
   1.05333  0.00012 -0.00286  0.39186  0.000114  0.000051  0.006836     2.240
   1.05579  0.00041 -0.00530  0.29081  0.000111  0.000050  0.005239     2.227
   1.05830  0.00090 -0.00775  0.18448  0.000112  0.000050  0.003290     2.230
   1.06085  0.00161 -0.01021  0.07710  0.000112  0.000050  0.001378     2.230
   1.06346  0.00253 -0.01265 -0.03291  0.000112  0.000050  0.000588     2.230
   1.06613  0.00368 -0.01507 -0.13904  0.000117  0.000052  0.002364     2.235
   1.06888  0.00506 -0.01743 -0.24078  0.000120  0.000054  0.004014     2.232
   1.07169  0.00667 -0.01974 -0.33568  0.000126  0.000056  0.005246     2.248
   1.07459  0.00851 -0.02199 -0.42176  0.000132  0.000059  0.006256     2.250
   1.07759  0.01056 -0.02417 -0.49937  0.000140  0.000062  0.006912     2.262
   1.08069  0.01283 -0.02628 -0.56778  0.000150  0.000066  0.007305     2.272
   1.08390  0.01532 -0.02832 -0.62809  0.000159  0.000070  0.007515     2.281
   1.08724  0.01802 -0.03028 -0.67993  0.000171  0.000075  0.007454     2.297
   1.09073  0.02094 -0.03219 -0.72601  0.000182  0.000079  0.007464     2.300
   1.09438  0.02409 -0.03403 -0.76470  0.000197  0.000085  0.007107     2.324
   1.09820  0.02747 -0.03582 -0.79912  0.000210  0.000090  0.006976     2.325
   1.10222  0.03109 -0.03756 -0.82836  0.000226  0.000096  0.006590     2.345
   1.10646  0.03498 -0.03925 -0.85374  0.000241  0.000103  0.006291     2.355
   1.11095  0.03916 -0.04090 -0.87578  0.000258  0.000109  0.005959     2.367
   1.11572  0.04364 -0.04251 -0.89490  0.000276  0.000116  0.005626     2.379
   1.12080  0.04847 -0.04410 -0.91136  0.000296  0.000124  0.005284     2.393
   1.12623  0.05367 -0.04565 -0.92565  0.000316  0.000131  0.004966     2.404
   1.13206  0.05930 -0.04718 -0.93805  0.000337  0.000139  0.004656     2.416
   1.13835  0.06540 -0.04869 -0.94876  0.000360  0.000148  0.004355     2.429
   1.14515  0.07204 -0.05019 -0.95815  0.000384  0.000157  0.004082     2.439
   1.15255  0.07929 -0.05167 -0.96599  0.000410  0.000167  0.003792     2.454
   1.16063  0.08723 -0.05314 -0.97302  0.000437  0.000177  0.003559     2.462
   1.16947  0.09595 -0.05461 -0.97896  0.000466  0.000188  0.003315     2.474
   1.17918  0.10556 -0.05607 -0.98424  0.000496  0.000200  0.003104     2.482
   1.18988  0.11615 -0.05753 -0.98892  0.000528  0.000212  0.002909     2.489
