#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00189  0.84897  0.008069  0.004076  0.000842     1.980
   0.00794  0.99232  0.00388  0.85984  0.007410  0.003871  0.000979     1.914
   0.02095  0.97971  0.00711  0.88048  0.006379  0.003523  0.001254     1.810
   0.03535  0.96574  0.01063  0.90207  0.005542  0.003204  0.001543     1.730
   0.05111  0.95044  0.01441  0.92391  0.004862  0.002917  0.001840     1.667
   0.06812  0.93391  0.01842  0.94508  0.004318  0.002668  0.002132     1.619
   0.08621  0.91632  0.02260  0.96493  0.003883  0.002454  0.002408     1.583
   0.10516  0.89786  0.02690  0.98333  0.003529  0.002269  0.002667     1.555
   0.12477  0.87874  0.03124  1.00031  0.003234  0.002109  0.002909     1.534
   0.14486  0.85913  0.03559  1.01592  0.002985  0.001968  0.003136     1.517
   0.16527  0.83918  0.03992  1.03041  0.002769  0.001841  0.003352     1.504
   0.18591  0.81898  0.04418  1.04387  0.002579  0.001727  0.003558     1.493
   0.20670  0.79863  0.04838  1.05650  0.002408  0.001622  0.003758     1.484
   0.22757  0.77816  0.05248  1.06841  0.002252  0.001525  0.003955     1.476
   0.24850  0.75762  0.05649  1.07976  0.002108  0.001434  0.004151     1.469
   0.26944  0.73704  0.06040  1.09058  0.001973  0.001349  0.004348     1.463
   0.29040  0.71643  0.06420  1.10101  0.001846  0.001267  0.004549     1.457
   0.31134  0.69582  0.06788  1.11104  0.001726  0.001188  0.004751     1.453
   0.33225  0.67521  0.07145  1.12075  0.001612  0.001113  0.004955     1.449
   0.35313  0.65462  0.07490  1.13012  0.001505  0.001041  0.005155     1.446
   0.37396  0.63406  0.07822  1.13918  0.001404  0.000970  0.005340     1.446
   0.39473  0.61354  0.08142  1.14789  0.001311  0.000903  0.005484     1.452
   0.41543  0.59306  0.08447  1.15610  0.001232  0.000838  0.005531     1.469
   0.43606  0.57264  0.08739  1.16386  0.001173  0.000778  0.005370     1.508
   0.45661  0.55228  0.09016  1.17115  0.001157  0.000723  0.004778     1.600
   0.47706  0.53200  0.09277  1.17973  0.001223  0.000674  0.003474     1.815
   0.49740  0.51180  0.09523  1.19633  0.001437  0.000620  0.001578     2.320
   0.51763  0.49171  0.09752  1.22671  0.001763  0.000544  0.000360     3.241
   0.53773  0.47172  0.09965  1.23165  0.001802  0.000530  0.000242     3.399
   0.55769  0.45185  0.10159  1.23780  0.001764  0.000515  0.000230     3.427
   0.57750  0.43212  0.10334  1.24471  0.001690  0.000498  0.000264     3.394
   0.59714  0.41254  0.10490  1.25217  0.001601  0.000480  0.000328     3.333
   0.61659  0.39314  0.10625  1.26005  0.001509  0.000462  0.000411     3.264
   0.63584  0.37392  0.10740  1.26826  0.001420  0.000444  0.000507     3.196
   0.65486  0.35492  0.10832  1.27670  0.001336  0.000426  0.000609     3.135
   0.67362  0.33618  0.10902  1.28532  0.001258  0.000408  0.000714     3.083
   0.69209  0.31771  0.10949  1.29407  0.001186  0.000390  0.000821     3.040
   0.71023  0.29958  0.10972  1.30288  0.001120  0.000372  0.000919     3.009
   0.72798  0.28183  0.10970  1.31186  0.001061  0.000355  0.001010     2.989
   0.74529  0.26452  0.10945  1.32105  0.001006  0.000338  0.001085     2.981
   0.76210  0.24772  0.10896  1.33072  0.000954  0.000320  0.001157     2.979
   0.77832  0.23151  0.10824  1.34112  0.000901  0.000303  0.001240     2.976
   0.79389  0.21597  0.10730  1.35257  0.000841  0.000285  0.001390     2.952
   0.80872  0.20118  0.10616  1.36654  0.000743  0.000264  0.001943     2.812
   0.82277  0.18720  0.10478  1.37977  0.000643  0.000244  0.002832     2.635
   0.83615  0.17393  0.10307  1.38505  0.000586  0.000229  0.003390     2.561
   0.84892  0.16132  0.10106  1.38604  0.000543  0.000216  0.003861     2.513
   0.86112  0.14933  0.09879  1.38348  0.000508  0.000205  0.004278     2.478
   0.87278  0.13795  0.09629  1.37779  0.000478  0.000195  0.004637     2.454
   0.88388  0.12717  0.09360  1.36967  0.000452  0.000186  0.004984     2.433
   0.89445  0.11700  0.09075  1.35910  0.000429  0.000178  0.005293     2.418
   0.90448  0.10742  0.08777  1.34653  0.000408  0.000170  0.005587     2.405
   0.91396  0.09845  0.08469  1.33211  0.000389  0.000162  0.005868     2.393
   0.92292  0.09006  0.08155  1.31593  0.000371  0.000156  0.006117     2.385
   0.93137  0.08223  0.07836  1.29843  0.000354  0.000149  0.006386     2.376
   0.93933  0.07495  0.07516  1.27927  0.000339  0.000143  0.006613     2.370
   0.94682  0.06818  0.07196  1.25893  0.000324  0.000137  0.006853     2.363
   0.95386  0.06190  0.06877  1.23721  0.000310  0.000132  0.007077     2.357
   0.96049  0.05608  0.06561  1.21421  0.000297  0.000126  0.007296     2.351
   0.96673  0.05068  0.06248  1.18990  0.000284  0.000121  0.007512     2.345
   0.97261  0.04568  0.05939  1.16417  0.000273  0.000116  0.007703     2.341
   0.97815  0.04105  0.05633  1.13715  0.000261  0.000112  0.007899     2.335
   0.98339  0.03676  0.05332  1.10859  0.000250  0.000107  0.008097     2.329
   0.98835  0.03278  0.05035  1.07823  0.000239  0.000103  0.008289     2.323
   0.99306  0.02911  0.04742  1.04591  0.000229  0.000099  0.008385     2.322
   0.99752  0.02571  0.04453  1.01221  0.000218  0.000094  0.008599     2.312
   1.00177  0.02256  0.04168  0.97553  0.000209  0.000090  0.008707     2.307
   1.00581  0.01966  0.03886  0.93654  0.000200  0.000087  0.008760     2.304
   1.00967  0.01699  0.03607  0.89508  0.000190  0.000083  0.008860     2.295
   1.01337  0.01454  0.03331  0.85004  0.000182  0.000079  0.008859     2.289
   1.01690  0.01229  0.03057  0.80159  0.000173  0.000076  0.008806     2.283
   1.02030  0.01025  0.02786  0.74952  0.000166  0.000073  0.008627     2.280
   1.02357  0.00840  0.02517  0.69341  0.000158  0.000069  0.008505     2.267
   1.02671  0.00675  0.02249  0.63188  0.000151  0.000067  0.008096     2.265
   1.02974  0.00528  0.01984  0.56623  0.000144  0.000064  0.007643     2.258
   1.03267  0.00399  0.01721  0.49546  0.000138  0.000061  0.007006     2.254
   1.03551  0.00288  0.01460  0.41898  0.000132  0.000059  0.006259     2.242
   1.03826  0.00196  0.01200  0.33749  0.000128  0.000057  0.005181     2.247
   1.04093  0.00122  0.00944  0.25146  0.000123  0.000055  0.004079     2.233
   1.04352  0.00066  0.00691  0.16028  0.000120  0.000054  0.002653     2.236
