#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.04605  0.00027  0.00441  0.06617  0.000116  0.000052  0.001137     2.230
   1.04852  0.00005  0.00195 -0.02970  0.000116  0.000052  0.000510     2.230
   1.05092  0.00000 -0.00045 -0.12827  0.000112  0.000050  0.002305     2.225
   1.05333  0.00012 -0.00286 -0.22895  0.000113  0.000050  0.004040     2.235
   1.05579  0.00041 -0.00530 -0.33463  0.000110  0.000050  0.006135     2.219
   1.05830  0.00090 -0.00775 -0.44015  0.000112  0.000050  0.007733     2.243
   1.06085  0.00161 -0.01021 -0.54581  0.000112  0.000050  0.009750     2.226
   1.06346  0.00253 -0.01265 -0.64779  0.000116  0.000052  0.010973     2.249
   1.06613  0.00368 -0.01507 -0.74326  0.000119  0.000053  0.012227     2.249
   1.06888  0.00506 -0.01743 -0.82981  0.000126  0.000055  0.012756     2.268
   1.07169  0.00667 -0.01974 -0.90604  0.000133  0.000058  0.013052     2.279
   1.07459  0.00851 -0.02199 -0.97127  0.000142  0.000062  0.012865     2.298
   1.07759  0.01056 -0.02417 -1.02764  0.000151  0.000065  0.012665     2.308
   1.08069  0.01283 -0.02628 -1.07282  0.000164  0.000070  0.011851     2.337
   1.08390  0.01532 -0.02832 -1.11009  0.000176  0.000075  0.011264     2.350
   1.08724  0.01802 -0.03028 -1.14021  0.000190  0.000080  0.010496     2.371
   1.09073  0.02094 -0.03219 -1.16386  0.000206  0.000086  0.009686     2.393
   1.09438  0.02409 -0.03403 -1.18172  0.000223  0.000092  0.008844     2.418
   1.09820  0.02747 -0.03582 -1.19574  0.000241  0.000099  0.008154     2.436
   1.10222  0.03109 -0.03756 -1.20570  0.000260  0.000106  0.007396     2.461
   1.10646  0.03498 -0.03925 -1.21295  0.000281  0.000113  0.006763     2.481
   1.11095  0.03916 -0.04090 -1.21744  0.000303  0.000121  0.006122     2.506
   1.11572  0.04364 -0.04251 -1.21973  0.000327  0.000129  0.005539     2.530
   1.12080  0.04847 -0.04410 -1.22054  0.000352  0.000138  0.005043     2.550
   1.12623  0.05367 -0.04565 -1.21963  0.000379  0.000147  0.004545     2.575
   1.13206  0.05930 -0.04718 -1.21752  0.000408  0.000157  0.004109     2.599
   1.13835  0.06540 -0.04869 -1.21444  0.000438  0.000167  0.003721     2.620
   1.14515  0.07204 -0.05019 -1.21050  0.000470  0.000178  0.003367     2.642
   1.15255  0.07929 -0.05167 -1.20560  0.000505  0.000189  0.003027     2.668
   1.16063  0.08723 -0.05314 -1.20025  0.000541  0.000201  0.002746     2.687
   1.16947  0.09595 -0.05461 -1.19440  0.000580  0.000214  0.002491     2.706
   1.17918  0.10556 -0.05607 -1.18824  0.000620  0.000228  0.002271     2.723
   1.18988  0.11615 -0.05753 -1.18187  0.000662  0.000242  0.002081     2.736
   1.20165  0.12783 -0.05898 -1.17570  0.000704  0.000257  0.001940     2.740
   1.21458  0.14068 -0.06044 -1.16994  0.000743  0.000272  0.001837     2.735
   1.22870  0.15472 -0.06191 -1.16504  0.000779  0.000287  0.001782     2.718
   1.24397  0.16992 -0.06337 -1.16198  0.000805  0.000300  0.001810     2.678
   1.26022  0.18610 -0.06485 -1.16145  0.000818  0.000312  0.001907     2.619
   1.27716  0.20298 -0.06632 -1.16905  0.000784  0.000316  0.002335     2.480
   1.29449  0.22026 -0.06761 -1.17557  0.000790  0.000323  0.002419     2.444
   1.31217  0.23791 -0.06864 -1.17732  0.000835  0.000336  0.002198     2.485
   1.33018  0.25590 -0.06943 -1.17662  0.000889  0.000350  0.001951     2.537
   1.34851  0.27423 -0.06997 -1.17421  0.000948  0.000366  0.001719     2.591
   1.36716  0.29287 -0.07028 -1.17066  0.001009  0.000382  0.001516     2.643
   1.38609  0.31181 -0.07037 -1.16626  0.001074  0.000399  0.001336     2.693
   1.40530  0.33101 -0.07025 -1.16123  0.001141  0.000416  0.001176     2.743
   1.42476  0.35047 -0.06992 -1.15580  0.001210  0.000433  0.001035     2.793
   1.44445  0.37016 -0.06941 -1.15000  0.001284  0.000451  0.000905     2.844
   1.46436  0.39006 -0.06871 -1.14397  0.001361  0.000469  0.000787     2.899
   1.48448  0.41015 -0.06783 -1.13780  0.001442  0.000488  0.000679     2.956
   1.50478  0.43043 -0.06680 -1.13151  0.001529  0.000507  0.000576     3.019
   1.52526  0.45087 -0.06561 -1.12527  0.001619  0.000525  0.000486     3.083
   1.54590  0.47147 -0.06428 -1.11907  0.001715  0.000544  0.000402     3.154
   1.56668  0.49220 -0.06281 -1.11298  0.001817  0.000563  0.000325     3.229
   1.58760  0.51305 -0.06121 -1.10710  0.001920  0.000581  0.000259     3.305
   1.60864  0.53402 -0.05949 -1.10149  0.002022  0.000599  0.000205     3.376
   1.62979  0.55509 -0.05766 -1.09617  0.002119  0.000617  0.000164     3.437
   1.65104  0.57626 -0.05573 -1.09122  0.002199  0.000633  0.000141     3.472
   1.67238  0.59750 -0.05370 -1.08673  0.002244  0.000649  0.000145     3.457
   1.69380  0.61881 -0.05157 -1.08307  0.002220  0.000663  0.000196     3.351
   1.71528  0.64018 -0.04936 -1.06894  0.002002  0.000712  0.000563     2.813
   1.73683  0.66160 -0.04706 -1.04829  0.001670  0.000787  0.001622     2.122
   1.75841  0.68306 -0.04469 -1.03790  0.001479  0.000840  0.002850     1.760
   1.78003  0.70454 -0.04225 -1.03182  0.001419  0.000892  0.003658     1.591
   1.80167  0.72604 -0.03974 -1.02629  0.001434  0.000949  0.004055     1.511
   1.82331  0.74752 -0.03716 -1.02029  0.001489  0.001011  0.004193     1.473
   1.84493  0.76898 -0.03452 -1.01378  0.001568  0.001078  0.004190     1.454
   1.86650  0.79037 -0.03183 -1.00664  0.001662  0.001149  0.004109     1.446
   1.88797  0.81167 -0.02909 -0.99889  0.001769  0.001224  0.003986     1.445
   1.90928  0.83280 -0.02630 -0.99051  0.001885  0.001303  0.003839     1.447
   1.93036  0.85369 -0.02349 -0.98137  0.002013  0.001387  0.003677     1.452
   1.95108  0.87422 -0.02066 -0.97132  0.002154  0.001477  0.003501     1.459
   1.97129  0.89423 -0.01785 -0.96026  0.002311  0.001574  0.003314     1.468
   1.99077  0.91351 -0.01508 -0.94795  0.002489  0.001681  0.003112     1.481
   2.00931  0.93185 -0.01239 -0.93421  0.002696  0.001801  0.002893     1.497
   2.02667  0.94903 -0.00982 -0.91882  0.002942  0.001938  0.002653     1.518
   2.04267  0.96485 -0.00741 -0.90148  0.003246  0.002098  0.002387     1.547
   2.05722  0.97923 -0.00518 -0.88226  0.003629  0.002287  0.002098     1.586
   2.07031  0.99215 -0.00314 -0.86017  0.004151  0.002524  0.001767     1.645
   2.07826  1.00000 -0.00189 -0.84897  0.004454  0.002658  0.001614     1.676
   2.07826  1.00010 -0.00000  0.84897  0.016217  0.006734  0.000000     2.408
   2.08620  1.00803 -0.00038  0.83223  0.014862  0.007324  0.000000     2.029
   2.09537  1.01719 -0.00077  0.84162  0.013182  0.007006  0.000000     1.882
   2.10595  1.02777 -0.00119  0.85368  0.011690  0.006635  0.000000     1.762
   2.11818  1.03999 -0.00165  0.86678  0.010410  0.006270  0.000000     1.660
   2.13229  1.05409 -0.00216  0.88022  0.009336  0.005931  0.000000     1.574
   2.14859  1.07038 -0.00272  0.89332  0.008448  0.005629  0.000000     1.501
   2.16740  1.08918 -0.00334  0.90565  0.007719  0.005368  0.000000     1.438
   2.18913  1.11089 -0.00402  0.91698  0.007117  0.005145  0.000000     1.383
   2.21421  1.13596 -0.00477  0.92725  0.006616  0.004956  0.000000     1.335
   2.24317  1.16491 -0.00559  0.93648  0.006196  0.004796  0.000000     1.292
   2.27660  1.19834 -0.00648  0.94477  0.005839  0.004660  0.000000     1.253
   2.31521  1.23693 -0.00746  0.95219  0.005535  0.004543  0.000000     1.218
   2.35978  1.28149 -0.00852  0.95881  0.005275  0.004443  0.000000     1.187
   2.41125  1.33294 -0.00968  0.96472  0.005052  0.004358  0.000000     1.159
   2.47067  1.39235 -0.01092  0.96996  0.004862  0.004284  0.000000     1.135
   2.53928  1.46095 -0.01225  0.97458  0.004701  0.004221  0.000000     1.114
   2.61849  1.54015 -0.01369  0.97864  0.004565  0.004167  0.000000     1.096
   2.70995  1.63160 -0.01522  0.98217  0.004452  0.004121  0.000000     1.080
   2.81555  1.73719 -0.01684  0.98523  0.004357  0.004081  0.000000     1.068
   2.93748  1.85910 -0.01856  0.98783  0.004279  0.004049  0.000000     1.057
   3.07826  1.99986 -0.02038  0.99023  0.004213  0.004019  0.000000     1.048
